"Topic1","Topic2","Topic3","Topic4","일자","요일","본사정원수","본사휴가자수","본사출장자수","본사시간외근무명령서승인건수","현본사소속재택근무자수","중식계","석식계","clust"
0.275249746847226,0.477257293396332,0.208931998992875,0.038560960763567,2016-02-01,"월",2601,50,150,238,0,1039,331,1
0.0833209878109879,0.75699690314457,0.107423586773089,0.0522585222713534,2016-02-02,"화",2601,50,173,319,0,867,560,1
0.0543422322889602,0.334866017266613,0.0293741478596023,0.581417602584824,2016-02-03,"수",2601,56,180,111,0,1017,573,1
0.131070196392068,0.580402047405925,0.250128213897861,0.038399542304145,2016-02-04,"목",2601,104,220,355,0,978,525,1
0.448661081746057,0.454136970715738,0.0485427443915041,0.0486592031467012,2016-02-05,"금",2601,278,181,34,0,925,330,1
0.145037007574682,0.167030629723951,0.650876955597982,0.0370554071033841,2016-02-11,"목",2601,383,143,417,0,1045,550,2
0.513429711281676,0.205637365258022,0.21315761892459,0.0677753045357115,2016-02-12,"금",2601,389,156,93,0,909,598,2
0.542840847382629,0.0581483464519082,0.163799127960221,0.235211678205242,2016-02-15,"월",2601,87,204,482,0,1268,672,2
0.182475261780548,0.0270919489699975,0.759862280839822,0.0305705084096322,2016-02-16,"화",2601,72,236,526,0,1014,523,2
0.186191491863111,0.0300990241958372,0.754103952050273,0.0296055318907787,2016-02-17,"수",2601,78,250,23,0,916,588,2
0.0733330860937512,0.0888310907245428,0.124698122854237,0.713137700327469,2016-02-18,"목",2601,77,254,367,0,910,489,2
0.692993159704055,0.0584968672753311,0.137232162679,0.111277810341614,2016-02-19,"금",2601,145,252,69,0,763,597,2
0.100073858819589,0.026681463890076,0.847621702604342,0.0256229746859937,2016-02-22,"월",2601,90,207,434,0,1298,645,2
0.82417302750153,0.051473978055294,0.056828310859618,0.0675246835835585,2016-02-23,"화",2601,57,237,488,0,899,610,2
0.136209858096631,0.0586548160512757,0.251296590515383,0.553838735336711,2016-02-24,"수",2601,54,232,14,0,1022,514,2
0.354714300338478,0.0433315636123656,0.549853186676494,0.0521009493726622,2016-02-25,"목",2601,56,261,335,0,917,531,2
0.514443302298502,0.126300758868117,0.291788075091575,0.067467863741806,2016-02-26,"금",2601,144,278,42,0,766,585,2
0.485984819612492,0.424893427841128,0.0505554370760732,0.0385663154703067,2016-02-29,"월",2601,595,168,110,0,869,344,1
0.155673732751358,0.677072588600541,0.126700655548268,0.0405530230998325,2016-03-02,"수",2624,127,182,261,0,1127,631,1
0.322348780477407,0.54345611197322,0.0776150913614294,0.0565800161879437,2016-03-03,"목",2624,61,224,351,0,1000,473,1
0.138028840618218,0.199069215693788,0.346356312435307,0.316545631252687,2016-03-04,"금",2624,83,247,79,0,837,673,2
0.547755322510444,0.274225822586851,0.124652124606832,0.0533667302958723,2016-03-07,"월",2624,50,195,456,0,1326,625,2
